frame_number,timestamp,track_id,class_name,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_x,center_y,base_x,base_y,latitude,longitude,map_px,map_py
27,14.631,3,car,0.25,498,239,575,290,536,264,536,290,44.655422,10.934617,2193,1412
27,14.631,5,car,0.25,528,215,583,247,555,231,556,247,44.655352,10.93475,2552,1603
27,14.631,7,car,0.25,619,207,672,236,645,221,645,236,44.655309,10.934766,2596,1719
27,14.631,9,car,0.7134,521,214,581,251,551,232,551,251,44.655361,10.934735,2513,1579
28,15.164,1,car,0.25,216,366,455,518,335,442,335,518,44.655552,10.934395,1590,1060
28,15.164,2,car,0.25,573,254,688,330,630,292,630,330,44.655451,10.934513,1910,1333
28,15.164,3,car,0.25,497,240,577,291,537,265,537,291,44.655423,10.934615,2186,1409
28,15.164,5,car,0.25,528,215,582,247,555,231,555,247,44.655352,10.93475,2553,1602
28,15.164,7,car,0.25,626,206,677,234,651,220,652,234,44.655303,10.934773,2615,1737
28,15.164,9,car,0.25,518,214,579,251,548,232,548,251,44.655361,10.934736,2515,1577
29,15.669,1,car,0.25,211,367,453,523,332,445,332,523,44.655553,10.934393,1584,1057
29,15.669,2,car,0.25,573,255,687,332,630,293,630,332,44.655453,10.93451,1902,1328
29,15.669,3,car,0.25,497,239,578,292,537,265,538,292,44.655424,10.934612,2178,1406
29,15.669,5,car,0.25,517,214,578,250,547,232,548,250,44.655359,10.93474,2526,1583
29,15.669,7,car,0.25,634,205,682,231,658,218,658,231,44.655293,10.934785,2649,1764
29,15.669,10,motorbike,0.3315,602,202,628,239,615,220,615,239,44.655323,10.934763,2589,1682
30,16.187,1,car,0.25,207,371,448,525,327,448,327,525,44.655554,10.934393,1583,1055
30,16.187,2,car,0.25,573,256,688,333,630,294,630,333,44.655454,10.934508,1897,1326
30,16.187,3,car,0.25,497,239,581,293,539,266,539,293,44.655425,10.934609,2171,1404
30,16.187,5,car,0.25,515,213,574,248,544,230,544,248,44.655356,10.93475,2552,1591
30,16.187,7,car,0.25,641,204,687,229,664,216,664,229,44.655286,10.934793,2671,1783
31,16.722,1,car,0.25,197,371,444,530,320,450,320,530,44.655555,10.934391,1578,1051
31,16.722,2,car,0.25,574,257,687,334,630,295,631,334,44.655455,10.934507,1893,1324
31,16.722,3,car,0.25,498,237,584,294,541,265,541,294,44.655426,10.934606,2163,1401
31,16.722,5,car,0.25,514,215,571,247,542,231,543,247,44.655354,10.934754,2565,1596
31,16.722,7,car,0.25,649,203,692,227,670,215,670,227,44.655278,10.934802,2693,1803
31,16.722,11,car,0.5534,588,206,628,239,608,222,608,239,44.655324,10.934766,2596,1678
32,17.255,1,car,0.25,184,374,436,536,310,455,310,536,44.655557,10.934389,1573,1047
32,17.255,2,car,0.25,575,258,688,335,631,296,631,335,44.655455,10.934506,1889,1322
32,17.255,3,car,0.25,499,238,586,294,542,266,542,294,44.655426,10.934606,2162,1401
32,17.255,5,car,0.25,514,215,569,245,541,230,541,245,44.65535,10.934764,2590,1607
32,17.255,7,car,0.25,656,202,697,224,676,213,676,224,44.655267,10.934816,2732,1833
32,17.255,11,car,0.25,585,206,625,239,605,222,605,239,44.655325,10.934767,2599,1676
32,17.255,12,bicycle,0.4412,1274,160,1305,189,1289,174,1289,189,44.654808,10.934711,2448,3079
33,17.8,1,car,0.25,174,378,431,543,302,460,303,543,44.655558,10.934387,1566,1043
33,17.8,2,car,0.25,576,259,688,336,632,297,632,336,44.655456,10.934504,1884,1320
33,17.8,3,car,0.25,501,238,589,295,545,266,545,295,44.655427,10.934603,2154,1399
33,17.8,5,car,0.25,514,217,569,246,541,231,542,246,44.655352,10.934759,2577,1602
