frame_number,timestamp,track_id,class_name,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_x,center_y,base_x,base_y,latitude,longitude,map_px,map_py
46,23.267,2,car,0.8472,575,272,677,351,626,311,626,351,44.655468,10.934484,1831,1288
46,23.267,3,car,0.8086,524,243,615,301,569,272,569,301,44.655431,10.934583,2099,1389
46,23.267,5,car,0.7076,528,210,580,243,554,226,554,243,44.655344,10.934768,2601,1625
46,23.267,6,bicycle,0.7693,39,371,86,470,62,420,62,470,44.655556,10.934467,1784,1049
46,23.267,4,car,0.7153,497,221,568,270,532,245,532,270,44.655396,10.934675,2348,1483
47,23.764,2,car,0.8441,576,279,672,353,624,316,624,353,44.65547,10.934482,1825,1283
47,23.764,3,car,0.8007,526,243,618,302,572,272,572,302,44.655431,10.93458,2091,1388
47,23.764,6,bicycle,0.7737,42,362,92,467,67,414,67,467,44.655555,10.934468,1788,1051
47,23.764,4,car,0.7666,496,221,565,269,530,245,530,269,44.655395,10.934678,2358,1486
48,24.258,2,car,0.8942,571,277,673,355,622,316,622,355,44.655471,10.93448,1819,1279
48,24.258,3,car,0.7789,528,243,620,302,574,272,574,302,44.655431,10.934579,2089,1388
48,24.258,6,bicycle,0.7464,45,355,99,465,72,410,72,465,44.655554,10.934469,1791,1053
48,24.258,4,car,0.7891,496,223,564,269,530,246,530,269,44.655395,10.934678,2358,1486
48,24.258,8,car,0.7585,482,219,517,249,499,234,499,249,44.655366,10.934761,2584,1565
49,24.767,2,car,0.878,569,279,672,358,620,318,620,358,44.655473,10.934476,1810,1273
49,24.767,3,car,0.7832,531,244,622,303,576,273,576,303,44.655432,10.934577,2082,1386
49,24.767,4,car,0.789,500,227,562,270,531,248,531,270,44.655396,10.934675,2348,1482
49,24.767,8,car,0.807,482,220,518,249,500,234,500,249,44.655366,10.934761,2583,1565
50,25.288,2,car,0.8916,567,281,672,361,619,321,619,361,44.655475,10.934473,1801,1268
50,25.288,3,car,0.7612,533,245,624,304,578,274,578,304,44.655433,10.934574,2075,1384
50,25.288,4,car,0.7908,501,229,562,271,531,250,531,271,44.655398,10.934672,2340,1478
50,25.288,8,car,0.8242,476,222,510,250,493,236,493,250,44.655369,10.934759,2578,1557
50,25.288,6,bicycle,0.6663,59,361,111,463,85,412,85,463,44.655553,10.934469,1790,1056
51,25.785,2,car,0.9203,563,279,672,362,617,320,617,362,44.655476,10.934472,1799,1266
51,25.785,3,car,0.7985,536,246,625,304,580,275,580,304,44.655433,10.934573,2073,1384
51,25.785,4,car,0.8042,500,228,563,272,531,250,531,272,44.655399,10.934669,2332,1474
51,25.785,8,car,0.7882,472,221,508,250,490,235,490,250,44.65537,10.93476,2581,1555
51,25.785,6,bicycle,0.608,65,358,119,458,92,408,92,458,44.655551,10.934472,1798,1061
52,26.272,2,car,0.9263,559,278,672,363,615,320,615,363,44.655477,10.934472,1797,1263
52,26.272,3,car,0.7503,537,246,626,304,581,275,581,304,44.655432,10.934573,2073,1385
52,26.272,4,car,0.8173,500,227,563,272,531,249,531,272,44.655399,10.934669,2332,1474
52,26.272,8,car,0.7901,466,218,506,250,486,234,486,250,44.65537,10.934762,2585,1553
52,26.272,1,car,0.7554,0,460,245,673,122,566,122,673,44.655582,10.934355,1481,977
53,26.77,2,car,0.9181,555,278,670,365,612,321,612,365,44.655479,10.93447,1792,1259
53,26.77,3,car,0.7652,538,246,626,304,582,275,582,304,44.655432,10.934573,2072,1385
53,26.77,4,car,0.8224,499,226,564,272,531,249,531,272,44.655399,10.934669,2332,1474
53,26.77,8,car,0.778,462,214,509,250,485,232,485,250,44.65537,10.934762,2586,1553
53,26.77,1,car,0.8518,0,462,238,685,119,573,119,685,44.655584,10.934352,1471,973
54,27.283,2,car,0.9192,552,280,669,367,610,323,610,367,44.65548,10.934468,1787,1255
54,27.283,3,car,0.7673,540,246,629,304,584,275,584,304,44.655432,10.934572,2070,1386
54,27.283,4,car,0.8242,499,225,565,273,532,249,532,273,44.655401,10.934665,2323,1471
